Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0603_1608Metric",46.100000,-63.400000,270.000000,top
"C2","100nF","C_0603_1608Metric",28.900000,-62.800000,90.000000,top
"C3","4.7uF","C_0805_2012Metric",4.100000,-12.300000,90.000000,top
"C4","4.7uF","C_0805_2012Metric",2.100000,-12.300000,90.000000,top
"C5","10nF","C_0603_1608Metric",2.700000,-15.600000,270.000000,top
"C6","100nF","C_0603_1608Metric",3.512500,-9.800000,0.000000,top
"C7","10nF","C_0603_1608Metric",4.300000,-15.600000,90.000000,top
"C8","100nF","C_0603_1608Metric",18.000000,-39.250000,0.000000,top
"C9","100nF","C_0603_1608Metric",15.700000,-35.450000,90.000000,top
"C10","1uF","C_0603_1608Metric",18.000000,-37.700000,0.000000,top
"C11","100nF","C_0603_1608Metric",22.000000,-10.700000,270.000000,top
"C13","1nF","C_0603_1608Metric",15.100000,-16.088000,270.000000,top
"C14","100nF","C_0603_1608Metric",31.000000,-55.700000,0.000000,top
"C16","100nF","C_0603_1608Metric",27.887500,-37.500000,180.000000,top
"C18","100nF","C_0603_1608Metric",27.912500,-21.700000,180.000000,top
"C21","47pF","C_0603_1608Metric",13.500000,-16.100000,270.000000,top
"C22","100uF","CP_EIA-3528-21_Kemet-B",10.100000,-6.100000,0.000000,top
"D1","SS34","D_SMA",9.100000,-9.700000,180.000000,top
"D2","SS14","D_SMA",8.900000,-22.400000,180.000000,top
"D3","SM4007PL","D_SOD-123F",61.500000,-55.600000,270.000000,top
"D4","USB","D_0805_2012Metric",2.500000,-43.000000,270.000000,top
"D5","SM4007PL","D_SOD-123F",59.100000,-37.200000,270.000000,top
"D6","SS34","D_SMA",59.000000,-10.650000,180.000000,top
"D7","SS34","D_SMA",51.700000,-10.600000,180.000000,top
"D8","SS34","D_SMA",16.500000,-3.900000,0.000000,top
"D9","SM4007PL","D_SOD-123F",59.100000,-55.600000,270.000000,top
"D10","SM4007PL","D_SOD-123F",61.500000,-37.200000,270.000000,top
"D11","SM4007PL","D_SOD-123F",59.100000,-51.000000,270.000000,top
"D12","SM4007PL","D_SOD-123F",59.100000,-32.500000,270.000000,top
"D13","SM4007PL","D_SOD-123F",61.500000,-51.000000,270.000000,top
"D14","SM4007PL","D_SOD-123F",61.500000,-32.500000,270.000000,top
"D15","SM4007PL","D_SOD-123F",59.100000,-46.400000,270.000000,top
"D16","SM4007PL","D_SOD-123F",59.100000,-27.900000,270.000000,top
"D17","SM4007PL","D_SOD-123F",61.500000,-46.400000,270.000000,top
"D18","SM4007PL","D_SOD-123F",61.500000,-27.900000,270.000000,top
"D19","SM4007PL","D_SOD-123F",59.100000,-41.800000,270.000000,top
"D20","SM4007PL","D_SOD-123F",61.500000,-23.300000,270.000000,top
"D21","SM4007PL","D_SOD-123F",61.500000,-41.800000,270.000000,top
"D22","SM4007PL","D_SOD-123F",59.100000,-23.300000,270.000000,top
"D23","SS14","D_SMA",8.900000,-18.800000,180.000000,top
"ESP32","ESP32-WROOM-32","ESP32-WROOM-32",18.300000,-55.300000,180.000000,top
"F1","3A","Fuse_1206_3216Metric",9.800000,-1.500000,0.000000,top
"F2","500mA","Fuse_1206_3216Metric",3.100000,-21.600000,270.000000,top
"IC1","TPS54331DR","SOIC-8_3.9x4.9mm_P1.27mm",8.900000,-14.300000,270.000000,top
"IC2","ULN2803ADWR","SOIC-18W_7.5x11.6mm_P1.27mm",43.200000,-19.100000,270.000000,top
"IC3","ULN2803ADWR","SOIC-18W_7.5x11.6mm_P1.27mm",43.200000,-35.000000,270.000000,top
"IC4","ULN2803ADWR","SOIC-18W_7.5x11.6mm_P1.27mm",43.200000,-51.500000,270.000000,top
"IC5","74HCT595","SOIC-16_3.9x9.9mm_P1.27mm",33.200000,-17.200000,90.000000,top
"IC6","74HCT595","SOIC-16_3.9x9.9mm_P1.27mm",33.200000,-33.050000,90.000000,top
"IC7","74HCT595","SOIC-16_3.9x9.9mm_P1.27mm",33.200000,-49.650000,90.000000,top
"IC8","SP3485EN","SOIC-8_3.9x4.9mm_P1.27mm",25.500000,-12.950000,0.000000,top
"L1","8.2uH","SMD-PIND-6.6x7.1x3.0_1.6x3.0",16.300000,-10.100000,90.000000,top
"LED1","LED1","D_0805_2012Metric",2.500000,-46.800000,90.000000,top
"LED2","LED2","D_0805_2012Metric",2.500000,-50.700000,90.000000,top
"PWR1","PWR","D_0805_2012Metric",2.500000,-54.600000,90.000000,top
"Q2","SS8050","SOT-23",57.200000,-14.300000,0.000000,top
"Q3","SS8550","SOT-23",61.000000,-18.300000,0.000000,top
"Q4","AO3400A","SOT-23",57.200000,-18.300000,0.000000,top
"Q5","AO3401A","SOT-23",61.000000,-14.300000,0.000000,top
"Q6","SS8050","SOT-23",16.000000,-26.150000,0.000000,top
"Q7","SS8050","SOT-23",23.200000,-26.050000,180.000000,top
"Q8","AO3401A","SOT-23",52.000000,-55.900000,180.000000,top
"Q9","AO3401A","SOT-23",55.500000,-39.100000,180.000000,top
"Q10","AO3401A","SOT-23",55.500000,-55.900000,180.000000,top
"Q11","AO3401A","SOT-23",52.000000,-39.100000,180.000000,top
"Q12","AO3401A","SOT-23",52.000000,-52.400000,180.000000,top
"Q13","AO3401A","SOT-23",55.500000,-35.550000,180.000000,top
"Q14","AO3401A","SOT-23",55.500000,-52.400000,180.000000,top
"Q15","AO3401A","SOT-23",52.000000,-35.600000,180.000000,top
"Q16","AO3401A","SOT-23",52.000000,-48.900000,180.000000,top
"Q17","AO3401A","SOT-23",52.000000,-32.050000,180.000000,top
"Q18","AO3401A","SOT-23",55.500000,-48.900000,180.000000,top
"Q19","AO3401A","SOT-23",55.500000,-32.050000,180.000000,top
"Q20","AO3401A","SOT-23",52.000000,-45.400000,180.000000,top
"Q21","AO3401A","SOT-23",52.000000,-28.450000,180.000000,top
"Q22","AO3401A","SOT-23",55.500000,-45.400000,180.000000,top
"Q23","AO3401A","SOT-23",55.500000,-28.450000,180.000000,top
"R3","10k","R_0603_1608Metric",46.100000,-60.312000,270.000000,top
"R4","10k","R_0603_1608Metric",3.500000,-17.900000,0.000000,top
"R5","10k","R_0603_1608Metric",19.600000,-27.050000,0.000000,top
"R6","30k","R_0603_1608Metric",16.700000,-16.100000,90.000000,top
"R7","4.7k","R_0603_1608Metric",18.000000,-36.150000,0.000000,top
"R8","10k","R_0603_1608Metric",55.700000,-22.800000,180.000000,top
"R9","270R","R_0603_1608Metric",4.300000,-42.600000,90.000000,top
"R10","270","R_0603_1608Metric",8.800000,-42.600000,270.000000,top
"R11","10k","R_0603_1608Metric",10.500000,-42.600000,90.000000,top
"R12","10k","R_0603_1608Metric",13.800000,-42.600000,270.000000,top
"R13","10k","R_0603_1608Metric",12.100000,-42.600000,270.000000,top
"R14","470R","R_0603_1608Metric",55.700000,-25.900000,180.000000,top
"R15","10k","R_0603_1608Metric",55.700000,-24.300000,180.000000,top
"R16","10k","R_0603_1608Metric",55.700000,-21.300000,180.000000,top
"R17","1k","R_0603_1608Metric",51.200000,-13.600000,180.000000,top
"R18","10k","R_0603_1608Metric",21.500000,-16.100000,90.000000,top
"R19","3k","R_0603_1608Metric",19.900000,-16.100000,270.000000,top
"R20","240","R_0603_1608Metric",18.300000,-16.100000,90.000000,top
"R21","10k","R_0603_1608Metric",19.600000,-25.100000,0.000000,top
"R22","270","R_0603_1608Metric",7.300000,-42.600000,90.000000,top
"R23","270","R_0603_1608Metric",5.800000,-42.600000,90.000000,top
"RN1","R_Pack04","R_Array_Convex_4x0603",41.250000,-43.700000,0.000000,top
"RN2","R_Pack04","R_Array_Convex_4x0603",44.950000,-43.700000,0.000000,top
"RN3","R_Pack04","R_Array_Convex_4x0603",41.200000,-27.200000,0.000000,top
"RN4","R_Pack04","R_Array_Convex_4x0603",44.950000,-27.200000,0.000000,top
"RN5","R_Pack04","R_Array_Convex_4x0603",51.200000,-20.000000,270.000000,top
"RN6","R_Pack04","R_Array_Convex_4x0603",51.200000,-16.300000,270.000000,top
"S1","TS-1187A-B-A-B","TS1187ABAB",58.000000,-61.300000,0.000000,top
"TVS1","SMF05CT1G","SOT-363_SC-70-6",14.200000,-32.500000,0.000000,top
"U3","CP2102N-A01-GQFN28","QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm",19.620000,-32.200000,270.000000,top
